CODGEO;LIBGEO;EPCI;LIBEPCI
11313;Ricaud;200035855;CC Castelnaudary Lauragais Audois
11314;Rieux-en-Val;200035715;CA Carcassonne Agglo
11315;Rieux-Minervois;200035715;CA Carcassonne Agglo
11316;Rivel;200043776;CC Pyrénées Audoises
11317;Rodome;200043776;CC Pyrénées Audoises
11318;Roquecourbe-Minervois;200035863;CC Région Lézignanaise, Corbières et Minervois
11319;Roquefère;200042463;CC de la Montagne Noire
11320;Roquefeuil;200043776;CC Pyrénées Audoises
11321;Roquefort-de-Sault;200043776;CC Pyrénées Audoises
11322;Roquefort-des-Corbières;241100593;CA Le Grand Narbonne
11323;Roquetaillade-et-Conilhac;200071926;CC du Limouxin
11324;Roubia;200035863;CC Région Lézignanaise, Corbières et Minervois
11325;Rouffiac-d'Aude;200035715;CA Carcassonne Agglo
11326;Rouffiac-des-Corbières;200070365;CC Corbières Salanque Méditerranée
11327;Roullens;200035715;CA Carcassonne Agglo
11328;Routier;200071926;CC du Limouxin
11330;Rustiques;200035715;CA Carcassonne Agglo
11331;Saint-Amans;200035707;CC Piège Lauragais Malepère
11332;Saint-André-de-Roquelongue;200035863;CC Région Lézignanaise, Corbières et Minervois
11333;Saint-Benoît;200043776;CC Pyrénées Audoises
11334;Sainte-Camelle;200035855;CC Castelnaudary Lauragais Audois
11335;Sainte-Colombe-sur-Guette;200043776;CC Pyrénées Audoises
11336;Sainte-Colombe-sur-l'Hers;200043776;CC Pyrénées Audoises
11337;Saint-Couat-d'Aude;200035863;CC Région Lézignanaise, Corbières et Minervois
11338;Saint-Couat-du-Razès;200071926;CC du Limouxin
11339;Saint-Denis;200042463;CC de la Montagne Noire
11340;Sainte-Eulalie;200035715;CA Carcassonne Agglo
11341;Saint-Ferriol;200043776;CC Pyrénées Audoises
11342;Saint-Frichoux;200035715;CA Carcassonne Agglo
11343;Saint-Gaudéric;200035707;CC Piège Lauragais Malepère
11344;Saint-Hilaire;200071926;CC du Limouxin
11345;Saint-Jean-de-Barrou;200070365;CC Corbières Salanque Méditerranée
11346;Saint-Jean-de-Paracol;200043776;CC Pyrénées Audoises
11347;Saint-Julia-de-Bec;200043776;CC Pyrénées Audoises
11348;Saint-Julien-de-Briola;200035707;CC Piège Lauragais Malepère
11350;Saint-Just-et-le-Bézu;200043776;CC Pyrénées Audoises
11351;Saint-Laurent-de-la-Cabrerisse;200035863;CC Région Lézignanaise, Corbières et Minervois
11352;Saint-Louis-et-Parahou;200043776;CC Pyrénées Audoises
11353;Saint-Marcel-sur-Aude;241100593;CA Le Grand Narbonne
11354;Saint-Martin-des-Puits;200035863;CC Région Lézignanaise, Corbières et Minervois
11355;Saint-Martin-de-Villereglan;200071926;CC du Limouxin
11356;Saint-Martin-Lalande;200035855;CC Castelnaudary Lauragais Audois
11357;Saint-Martin-le-Vieil;200035715;CA Carcassonne Agglo
11358;Saint-Martin-Lys;200043776;CC Pyrénées Audoises
11359;Saint-Michel-de-Lanès;200035855;CC Castelnaudary Lauragais Audois
11360;Saint-Nazaire-d'Aude;241100593;CA Le Grand Narbonne
11361;Saint-Papoul;200035855;CC Castelnaudary Lauragais Audois
11362;Saint-Paulet;200035855;CC Castelnaudary Lauragais Audois
11363;Saint-Pierre-des-Champs;200035863;CC Région Lézignanaise, Corbières et Minervois
11364;Saint-Polycarpe;200071926;CC du Limouxin
11365;Saint-Sernin;200035707;CC Piège Lauragais Malepère
11366;Sainte-Valière;241100593;CA Le Grand Narbonne
11367;Saissac;200042463;CC de la Montagne Noire
11368;Sallèles-Cabardès;200035715;CA Carcassonne Agglo
11369;Sallèles-d'Aude;241100593;CA Le Grand Narbonne
11370;Salles-d'Aude;241100593;CA Le Grand Narbonne
11371;Salles-sur-l'Hers;200035855;CC Castelnaudary Lauragais Audois
11372;Salsigne;200042463;CC de la Montagne Noire
11373;Salvezines;200043776;CC Pyrénées Audoises
11374;Salza;200035863;CC Région Lézignanaise, Corbières et Minervois
11375;Seignalens;200071926;CC du Limouxin
11376;La Serpent;200071926;CC du Limouxin
11377;Serres;200071926;CC du Limouxin
11378;Serviès-en-Val;200035715;CA Carcassonne Agglo
11379;Sigean;241100593;CA Le Grand Narbonne
11380;Sonnac-sur-l'Hers;200043776;CC Pyrénées Audoises
11381;Sougraigne;200071926;CC du Limouxin
11382;Souilhanels;200035855;CC Castelnaudary Lauragais Audois
11383;Souilhe;200035855;CC Castelnaudary Lauragais Audois
11384;Soulatgé;200070365;CC Corbières Salanque Méditerranée
11385;Soupex;200035855;CC Castelnaudary Lauragais Audois
11386;Talairan;200035863;CC Région Lézignanaise, Corbières et Minervois
11387;Taurize;200035715;CA Carcassonne Agglo
11388;Termes;200035863;CC Région Lézignanaise, Corbières et Minervois
11389;Terroles;200071926;CC du Limouxin
11390;Thézan-des-Corbières;200035863;CC Région Lézignanaise, Corbières et Minervois
11391;La Tourette-Cabardès;200042463;CC de la Montagne Noire
11392;Tournissan;200035863;CC Région Lézignanaise, Corbières et Minervois
11393;Tourouzelle;200035863;CC Région Lézignanaise, Corbières et Minervois
11394;Tourreilles;200071926;CC du Limouxin
11395;Trassanel;200035715;CA Carcassonne Agglo
11396;Trausse;200035715;CA Carcassonne Agglo
11397;Trèbes;200035715;CA Carcassonne Agglo
11398;Treilles;241100593;CA Le Grand Narbonne
11399;Tréville;200035855;CC Castelnaudary Lauragais Audois
11400;Tréziers;200043776;CC Pyrénées Audoises
11401;Tuchan;200070365;CC Corbières Salanque Méditerranée
11402;Valmigère;200071926;CC du Limouxin
11404;Ventenac-Cabardès;200035715;CA Carcassonne Agglo
11405;Ventenac-en-Minervois;241100593;CA Le Grand Narbonne
11406;Véraza;200071926;CC du Limouxin
11407;Verdun-en-Lauragais;200035855;CC Castelnaudary Lauragais Audois
11408;Verzeille;200035715;CA Carcassonne Agglo
11409;Vignevieille;200035863;CC Région Lézignanaise, Corbières et Minervois
11410;Villalier;200035715;CA Carcassonne Agglo
11411;Villanière;200042463;CC de la Montagne Noire
11412;Villardebelle;200071926;CC du Limouxin
11413;Villardonnel;200042463;CC de la Montagne Noire
11414;Villar-en-Val;200035715;CA Carcassonne Agglo
11415;Villar-Saint-Anselme;200071926;CC du Limouxin
11416;Villarzel-Cabardès;200035715;CA Carcassonne Agglo
11417;Villarzel-du-Razès;200071926;CC du Limouxin
11418;Villasavary;200035707;CC Piège Lauragais Malepère
11419;Villautou;200035707;CC Piège Lauragais Malepère
11420;Villebazy;200071926;CC du Limouxin
11421;Villedaigne;241100593;CA Le Grand Narbonne
11422;Villedubert;200035715;CA Carcassonne Agglo
11423;Villefloure;200035715;CA Carcassonne Agglo
11424;Villefort;200043776;CC Pyrénées Audoises
11425;Villegailhenc;200035715;CA Carcassonne Agglo
11426;Villegly;200035715;CA Carcassonne Agglo
11427;Villelongue-d'Aude;200071926;CC du Limouxin
11428;Villemagne;200035855;CC Castelnaudary Lauragais Audois
11429;Villemoustaussou;200035715;CA Carcassonne Agglo
11430;Villeneuve-la-Comptal;200035855;CC Castelnaudary Lauragais Audois
11431;Villeneuve-les-Corbières;200070365;CC Corbières Salanque Méditerranée
11432;Villeneuve-lès-Montréal;200035707;CC Piège Lauragais Malepère
11433;Villeneuve-Minervois;200035715;CA Carcassonne Agglo
11434;Villepinte;200035707;CC Piège Lauragais Malepère
11435;Villerouge-Termenès;200035863;CC Région Lézignanaise, Corbières et Minervois
11436;Villesèque-des-Corbières;200070365;CC Corbières Salanque Méditerranée
11437;Villesèquelande;200035715;CA Carcassonne Agglo
11438;Villesiscle;200035707;CC Piège Lauragais Malepère
11439;Villespy;200035707;CC Piège Lauragais Malepère
11440;Villetritouls;200035715;CA Carcassonne Agglo
11441;Vinassan;241100593;CA Le Grand Narbonne
12001;Agen-d'Aveyron;241200658;CC du Pays de Salars
12002;Aguessac;241200567;CC de Millau Grands Causses
12003;Les Albres;241200674;CC du Plateau de Montbazens
12004;Almont-les-Junies;200067064;CC Decazeville Communauté
12006;Alrance;241200765;CC de Lévézou Pareloup
12007;Ambeyrac;200069383;CC Ouest Aveyron Communauté
12008;Anglars-Saint-Félix;241200625;CC du Pays Rignacois
12009;Arnac-sur-Dourdou;200067163;CC Monts, Rance et Rougier
12010;Arques;241200658;CC du Pays de Salars
12011;Arvieu;241200765;CC de Lévézou Pareloup
